   0  4 -30.56   4 0 L R  0.679  18.6
   1  3 -34.67   2 0 L R  0.434  20.0
   2  7 -18.22  16 1 L L  0.231  21.2
   3  9 -10.00  40 1 R R  0.165  22.1
   4  3 -34.67   2 0 L R  0.297  23.1
   5  2 -38.78   1 0 L R  0.422  24.3
   6  3 -34.67   2 1 L L  0.382  25.5
   7  8 -14.11  25 1 L L  0.224  26.4
   8  1 -42.89   1 0 R L  0.310  27.3
   9  6 -22.33  10 1 L L  0.177  28.1
  10  9 -10.00  40 1 L L  0.211  29.0
  11  7 -18.22  16 1 L L  0.154  29.7
  12  1 -42.89   1 0 L R  0.273  30.6
  13  6 -22.33  10 1 L L  0.154  31.4
  14  0 -47.00   1 0 L R  0.470  32.5
  15  1 -42.89   1 0 L R  0.291  33.5
  16  6 -22.33  10 1 L L  0.178  34.3
  17  5 -26.44   6 1 R R  0.213  35.1
  18  5 -26.44   6 1 L L  0.191  36.0
  19  5 -26.44   6 1 L L  0.165  36.7
  20  6 -22.33  10 1 R R  0.106  37.5
  21  7 -18.22  16 1 R R  0.166  38.3
  22  5 -26.44   6 1 R R  0.129  39.0
  23  3 -34.67   2 1 L L  0.383  40.0
  24  8 -14.11  25 1 L L  0.180  40.9
  25  3 -34.67   2 1 R R  0.219  42.2
  26  6 -22.33  10 1 L L  0.129  42.9
  27  7 -18.22  16 1 R R  0.128  43.6
  28  0 -47.00   1 0 R L  0.238  44.5
  29  3 -34.67   2 0 L R  0.104  45.2
  30  6 -22.33  10 1 R R  0.217  46.1
  31  7 -18.22  16 1 L L  0.093  46.8
  32  1 -42.89   1 0 L R  0.117  47.6
  33  0 -47.00   1 1 L L  0.168  48.4
  34  0 -47.00   1 1 R R  0.153  49.2
  35  7 -18.22  16 1 L L  0.106  50.0
  36  6 -22.33  10 1 L L  0.179  50.8
  37  5 -26.44   6 1 L L  0.155  51.6
  38  3 -34.67   2 0 R L  0.118  52.3
  39  2 -38.78   1 1 R R  0.140  53.1
  40  1 -42.89   1 1 R R  0.130  53.9
  41  4 -30.56   4 0 R L  0.083  54.7
  42  7 -18.22  16 1 L L  0.228  55.6
  43  6 -22.33  10 1 R R  0.106  56.3
  44  7 -18.22  16 1 L L  0.127  57.0
  45  0 -47.00   1 0 R L  0.250  57.9
  46  7 -18.22  16 1 R R  0.106  58.6
  47  2 -38.78   1 1 L L  0.183  59.3
  48  3 -34.67   2 0 L R  0.201  60.2
  49  7 -18.22  16 1 R R  0.022  61.5
  50  3 -34.67   2 0 L R  0.262  62.9
  51  0 -47.00   1 0 R L  0.153  64.2
  52  4 -30.56   4 1 L L  0.568  65.5
  53  6 -22.33  10 1 R R  0.194  66.8
  54  1 -42.89   1 0 L R  0.585  68.0
  55  3 -34.67   2 0 L R  0.443  68.9
  56  9 -10.00  40 1 L L  0.142  69.8
  57  9 -10.00  40 1 R R  0.143  70.6
  58  2 -38.78   1 1 L L  0.284  71.5
  59  5 -26.44   6 0 L R  0.082  72.2
  60  0 -47.00   1 0 L R  0.382  74.0
  61  4 -30.56   4 1 R R  0.428  75.0
  62  6 -22.33  10 1 R R  0.178  76.2
  63  2 -38.78   1 0 L R  0.141  77.0
  64  0 -47.00   1 1 L L  0.166  77.9
  65  4 -30.56   4 1 L L  0.296  78.8
  66  4 -30.56   4 0 L R  0.357  79.8
  67  8 -14.11  25 1 L L  0.177  80.6
  68  1 -42.89   1 0 R L  0.278  81.5
  69  4 -30.56   4 1 L L  0.165  82.3
  70  2 -38.78   1 1 R R  0.181  83.2
  71  2 -38.78   1 0 R L  0.191  84.0
  72  4 -30.56   4 1 L L  0.155  84.8
  73  8 -14.11  25 1 L L  0.180  86.2
  74  1 -42.89   1 1 L L  0.283  87.1
  75  8 -14.11  25 1 L L  0.182  88.3
  76  9 -10.00  40 1 L L  0.130  89.0
  77  1 -42.89   1 1 L L  0.239  89.9
  78  5 -26.44   6 1 R R  0.147  90.7
  79  1 -42.89   1 1 R R  0.249  91.6
  80  9 -10.00  40 1 L L  0.119  92.3
  81  2 -38.78   1 1 L L  0.289  93.3
  82  5 -26.44   6 1 R R  0.203  94.2
  83  0 -47.00   1 1 L L  0.299  95.2
  84  9 -10.00  40 1 L L  0.132  96.0
  85  0 -47.00   1 1 L L  0.423  97.0
  86  9 -10.00  40 1 R R  0.108  97.8
  87  4 -30.56   4 1 R R  0.169  98.6
  88  5 -26.44   6 1 R R  0.195  99.5
  89  2 -38.78   1 0 L R  0.333 100.5
  90  5 -26.44   6 1 L L  0.225 101.7
  91  9 -10.00  40 1 R R  0.141 102.5
  92  2 -38.78   1 0 L R  0.231 103.3
  93  4 -30.56   4 1 L L  0.093 104.1
  94  9 -10.00  40 1 L L  0.118 104.9
  95  8 -14.11  25 1 R R  0.131 105.6
  96  8 -14.11  25 1 L L  0.081 106.3
  97  8 -14.11  25 1 L L  0.142 107.1
  98  8 -14.11  25 1 R R  0.169 108.3
  99  8 -14.11  25 1 R R  0.130 109.1
