   0  7 -18.22  16 1 R R  0.378  10.9
   1  2 -38.78   1 0 L R  0.810  13.6
   2  2 -38.78   1 0 L R  0.741  15.2
   3  1 -42.89   1 1 L L  1.214  17.2
   4  7 -18.22  16 1 R R  0.272  18.4
   5  0 -47.00   1 1 L L  1.137  20.5
   6  3 -34.67   2 1 L L  1.082  22.5
   7  9 -10.00  40 1 R R  0.256  23.6
   8  9 -10.00  40 1 R R  0.273  24.6
   9  5 -26.44   6 1 L L  0.891  26.1
  10  5 -26.44   6 1 R R  0.263  27.0
  11  6 -22.33  10 1 R R  0.311  27.8
  12  9 -10.00  40 1 L L  0.213  28.7
  13  5 -26.44   6 1 R R  0.405  29.8
  14  1 -42.89   1 1 L L  0.617  31.1
  15  6 -22.33  10 0 R L  1.164  32.9
  16  4 -30.56   4 0 L R  0.746  34.2
  17  5 -26.44   6 0 L R  0.808  35.6
  18  5 -26.44   6 0 L R  0.919  37.0
  19  6 -22.33  10 1 L L  0.582  38.1
  20  8 -14.11  25 1 L L  0.296  38.9
  21  4 -30.56   4 1 R R  0.760  40.2
  22  0 -47.00   1 0 R L  2.210  43.0
  23  2 -38.78   1 0 L R  0.946  44.5
  24  0 -47.00   1 0 L R  1.156  46.1
  25  2 -38.78   1 0 R L  0.720  47.4
  26  5 -26.44   6 1 L L  0.338  48.2
  27  1 -42.89   1 0 L R  0.614  49.4
  28  0 -47.00   1 0 L R  0.624  50.6
  29  9 -10.00  40 1 R R  1.150  52.2
  30  7 -18.22  16 1 L L  0.253  53.0
  31  4 -30.56   4 1 R R  1.032  54.5
  32  6 -22.33  10 1 L L  0.338  55.4
  33  9 -10.00  40 0 R L  0.968  56.8
  34  6 -22.33  10 0 R L  1.238  58.6
  35  5 -26.44   6 1 L L  0.276  59.3
  36  5 -26.44   6 1 L L  0.241  60.0
  37  0 -47.00   1 1 R R  0.690  61.2
  38  5 -26.44   6 1 L L  0.239  61.9
  39  5 -26.44   6 1 L L  0.205  62.6
  40  2 -38.78   1 1 R R  0.581  63.7
  41  4 -30.56   4 1 R R  0.941  65.1
  42  3 -34.67   2 1 L L  0.390  66.0
  43  7 -18.22  16 0 R L  1.488  68.0
  44  8 -14.11  25 1 R R  1.641  70.2
  45  8 -14.11  25 1 L L  0.263  70.9
  46  2 -38.78   1 1 R R  0.998  72.4
  47  2 -38.78   1 1 L L  0.641  73.5
  48  6 -22.33  10 1 L L  0.366  74.4
  49  6 -22.33  10 1 L L  0.297  75.2
  50  4 -30.56   4 1 R R  0.775  76.5
  51  9 -10.00  40 1 L L  0.419  77.4
  52  2 -38.78   1 0 L R  1.813  80.7
  53  8 -14.11  25 1 L L  0.847  82.2
  54  7 -18.22  16 0 R L  0.548  83.3
  55  2 -38.78   1 1 R R  0.493  84.3
  56  7 -18.22  16 1 L L  0.288  85.1
  57  6 -22.33  10 1 L L  0.191  85.8
  58  7 -18.22  16 1 R R  0.600  86.9
  59  0 -47.00   1 0 R L  0.488  87.8
  60  9 -10.00  40 1 L L  0.313  88.6
  61  0 -47.00   1 0 L R  1.885  91.0
  62  2 -38.78   1 1 L L  0.860  92.4
  63  3 -34.67   2 0 R L  1.608  94.4
  64  0 -47.00   1 1 R R  0.492  95.4
  65  7 -18.22  16 1 R R  0.378  96.5
  66  0 -47.00   1 0 L R  1.390  98.4
  67  1 -42.89   1 0 R L  0.310  99.2
  68  6 -22.33  10 1 R R  0.273 100.3
  69  0 -47.00   1 1 R R  0.979 101.8
  70  3 -34.67   2 1 L L  0.508 102.8
  71  1 -42.89   1 0 L R  0.784 104.1
  72  7 -18.22  16 1 L L  0.816 105.7
  73  6 -22.33  10 0 R L  0.698 107.2
  74  7 -18.22  16 1 L L  0.310 108.1
  75  1 -42.89   1 1 R R  1.080 109.7
  76  4 -30.56   4 1 L L  0.495 110.8
  77  3 -34.67   2 1 L L  0.653 112.0
  78  4 -30.56   4 1 R R  1.415 113.9
  79  9 -10.00  40 1 R R  0.897 115.3
  80  3 -34.67   2 0 R L  0.636 116.4
  81  4 -30.56   4 0 R L  0.435 117.4
  82  8 -14.11  25 1 L L  0.239 118.2
  83  1 -42.89   1 0 L R  1.599 120.3
  84  8 -14.11  25 1 R R  0.613 121.4
  85  4 -30.56   4 1 R R  0.826 122.7
  86  8 -14.11  25 1 L L  0.261 123.5
  87  4 -30.56   4 1 L L  0.358 124.3
  88  8 -14.11  25 1 L L  0.352 125.6
  89  9 -10.00  40 1 R R  1.008 127.2
  90  1 -42.89   1 1 R R  1.037 128.7
  91  9 -10.00  40 1 L L  0.511 129.9
  92  8 -14.11  25 0 L R  0.223 130.8
  93  3 -34.67   2 0 L R  0.567 132.1
  94  1 -42.89   1 1 R R  0.421 133.3
  95  1 -42.89   1 0 R L  1.114 134.9
  96  3 -34.67   2 0 R L  0.422 135.9
  97  3 -34.67   2 0 L R  0.384 137.0
  98  8 -14.11  25 1 R R  0.752 138.5
  99  3 -34.67   2 1 L L  0.392 139.5
